,站位ID,站牌名稱,行經路線
0,2258,樹德科技大學(校區),"['E03A燕巢快線', 'E03A燕巢快線', 'E03B燕巢快線', 'E03B燕巢快線', 'E04', 'E04', 'E09鳳山燕巢城市快線', 'E09鳳山燕巢城市快線', 'E09(假日行駛)', 'E09(假日行駛)', 'E10小港燕巢城市快線', 'E10小港燕巢城市快線', 'E10(假日行駛)', 'E10(假日行駛)', '7A', '7A', '7C', '7C', '7D']"
1,832,橫山路口,"['E04', '7A', '7C', '8023', '8023(區間車)']"
2,833,橫山路口,"['E04', '7A', '7C', '8023', '8023(區間車)']"
3,834,樹德科技大學(橫山路),"['H51', 'E04', '8023', '8023(區間車)', '97']"
4,835,樹德科技大學(橫山路),"['H51', 'E03A燕巢快線', 'E03B燕巢快線', 'E03B燕巢快線', 'E04', 'E09鳳山燕巢城市快線', 'E09(假日行駛)', 'E10小港燕巢城市快線', 'E10(假日行駛)', '7A', '7C', '7D', '8023', '8023(區間車)', '97']"
