,車牌號碼,公車路線,出發站,出發車站ID,預計到站時間,目標站,目標車站ID
0,EAL-2876,7A,高雄科大(燕巢),2347,2760,楠梓火車站,2135
1,EAL-2876,7A,高雄科大(燕巢),2347,1920,楠梓火車站,2135
2,EAL-2876,7A,竹崎(高雄科大.燕巢),822,2040,楠梓火車站,2135
3,EAL-2876,7A,竹崎(高雄科大.燕巢),823,2700,楠梓火車站,2135
4,EAL-2876,7A,高雄科大(燕巢),2347,2760,楠梓火車站,2136
5,EAL-2876,7A,高雄科大(燕巢),2347,1920,楠梓火車站,2136
6,EAL-2876,7A,竹崎(高雄科大.燕巢),822,2040,楠梓火車站,2136
7,EAL-2876,7A,竹崎(高雄科大.燕巢),823,2700,楠梓火車站,2136
8,902-V2,8023,竹崎(高雄科大.燕巢),822,1020,楠梓站,858
9,902-V2,8023,竹崎(高雄科大.燕巢),822,1020,楠梓站,859
