,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime,EstimateTime,Estimates
0,,KHH3591,3591,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",0,7,1,2021-12-24T22:08:00+08:00,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,,
1,,KHH3593,3593,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",1,37,1,2021-12-24T22:07:00+08:00,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,,
2,560-FP,KHH3591,3591,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",0,7,0,2021-12-24T21:44:00+08:00,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,420.0,"[{'PlateNumb': '560-FP', 'EstimateTime': 420, 'IsLastBus': False}]"
3,212-FT,KHH3593,3593,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",1,31,0,2021-12-24T21:44:00+08:00,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,900.0,"[{'PlateNumb': '212-FT', 'EstimateTime': 900, 'IsLastBus': False}]"
4,,KHH3591,3591,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH224,224,"{'Zh_tw': '224(原 24B)', 'En': '224'}",KHH224,224,"{'Zh_tw': '224(原 24B)', 'En': '224'}",1,29,3,,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,,
5,,KHH3592,3592,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH24,24,"{'Zh_tw': '24(原 24A)', 'En': '24'}",KHH24,24,"{'Zh_tw': '24(原 24A)', 'En': '24'}",1,2,3,,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,,
6,,KHH3656,3656,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",1,17,1,2021-12-24T22:04:00+08:00,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,,
7,,KHH3656,3656,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",1,17,3,,2021-12-24T21:38:11+08:00,2021-12-24T21:38:31+08:00,,
