,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH32875,32875,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan Rd.)'}",KHH15203,15203,"{'Zh_tw': 'H51', 'En': 'H51'}",KHH15203,15203,"{'Zh_tw': 'H51', 'En': 'H51'}",1,1,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
1,,KHH19197,19197,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",0,6,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
2,,KHH19197,19197,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",KHH503,503,"{'Zh_tw': 'E03A燕巢快線', 'En': 'E03A Yanchao Express'}",1,4,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
3,FAG-610,KHH9251,9251,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",0,12,0,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,180.0,2021-12-24T22:52:00+08:00,"[{'PlateNumb': 'FAG-610', 'EstimateTime': 180, 'IsLastBus': False}]"
4,,KHH9276,9276,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",KHH5031,5031,"{'Zh_tw': 'E03B燕巢快線', 'En': 'E03B Yanchao Express '}",1,3,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,2021-12-24T22:44:00+08:00,
5,,KHH7593,7593,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",1,15,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
6,,KHH18232,18232,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH509,509,"{'Zh_tw': 'E09鳳山燕巢城市快線', 'En': 'E09 Fongshan Yanchao City Express'}",KHH509,509,"{'Zh_tw': 'E09鳳山燕巢城市快線', 'En': 'E09 Fongshan Yanchao City Express'}",1,2,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
7,,KHH18232,18232,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH5091,5091,"{'Zh_tw': 'E09(假日行駛)', 'En': 'E09 Fongshan Yanchao City Express'}",KHH5091,5091,"{'Zh_tw': 'E09(假日行駛)', 'En': 'E09 Fongshan Yanchao City Express'}",1,2,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
8,,KHH18232,18232,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH510,510,"{'Zh_tw': 'E10小港燕巢城市快線', 'En': 'E10A Siaogang Yanchao City Express'}",KHH510,510,"{'Zh_tw': 'E10小港燕巢城市快線', 'En': 'E10A Siaogang Yanchao City Express'}",1,2,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
9,,KHH18232,18232,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH5101,5101,"{'Zh_tw': 'E10(假日行駛)', 'En': 'E10A Siaogang Yanchao City Express'}",KHH5101,5101,"{'Zh_tw': 'E10(假日行駛)', 'En': 'E10A Siaogang Yanchao City Express'}",1,2,1,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00,,,
