,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH10563,10563,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH224,224,"{'Zh_tw': '224(原 24B)', 'En': '224'}",KHH224,224,"{'Zh_tw': '224(原 24B)', 'En': '224'}",0,42,3,2021-12-24T21:36:11+08:00,2021-12-24T21:36:31+08:00,,,
1,092-V3,KHH3594,3594,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",0,43,0,2021-12-24T21:36:11+08:00,2021-12-24T21:36:31+08:00,0.0,2021-12-24T22:18:00+08:00,"[{'PlateNumb': '092-V3', 'EstimateTime': 0, 'IsLastBus': False}, {'PlateNumb': '089-V3', 'EstimateTime': 2640, 'IsLastBus': False}]"
2,,KHH3594,3594,"{'Zh_tw': '漢神巨蛋', 'En': 'Hanshen Arena'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",0,22,3,2021-12-24T21:36:11+08:00,2021-12-24T21:36:31+08:00,,,
