,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime
0,,KHH7535,7535,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",0,14,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
1,,KHH14802,14802,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",0,40,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
2,,KHH7228,7228,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",0,44,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
3,,KHH7228,7228,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",0,21,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
