,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH11306,11306,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",1,23,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
1,773-FP,KHH11306,11306,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",1,23,0,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,1260.0,2021-12-14T20:28:00+08:00,"[{'PlateNumb': '773-FP', 'EstimateTime': 1260, 'IsLastBus': False}]"
2,,KHH11306,11306,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",1,25,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
3,EAL-2856,KHH3731,3731,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH210,210,"{'Zh_tw': '紅35', 'En': 'Red35'}",KHH210,210,"{'Zh_tw': '紅35', 'En': 'Red35'}",0,11,0,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,660.0,2021-12-14T20:16:00+08:00,"[{'PlateNumb': 'EAL-2856', 'EstimateTime': 660, 'IsLastBus': False}]"
4,,KHH3731,3731,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH2102,2102,"{'Zh_tw': '紅35(繞崇實社區)', 'En': 'Red35(Extend)'}",KHH2102,2102,"{'Zh_tw': '紅35(繞崇實社區)', 'En': 'Red35(Extend)'}",0,11,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
5,,KHH11280,11280,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",1,23,3,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,,
6,096-V3,KHH11280,11280,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",1,23,0,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,3840.0,2021-12-14T21:14:00+08:00,"[{'PlateNumb': '096-V3', 'EstimateTime': 3840, 'IsLastBus': False}]"
7,109-V3,KHH3734,3734,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",1,28,0,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,180.0,2021-12-14T20:34:00+08:00,"[{'PlateNumb': '109-V3', 'EstimateTime': 180, 'IsLastBus': False}, {'PlateNumb': 'KKA-9028', 'EstimateTime': 1620, 'IsLastBus': False}, {'PlateNumb': '108-V3', 'EstimateTime': 3480, 'IsLastBus': False}]"
