,station_name,lat,lng,district
79,西門路三段,22.99929,120.20108,X6X2+PC8 台灣台南市中西區
80,成功路(台南),22.99848,120.20452,X6X3+9RR 台灣台南市中西區
81,台南火車站,22.99746,120.21003,X6W6+X2J 台灣台南市中西區
82,頂烏松,22.59842,120.28018,H7XJ+937 台灣高雄市前鎮區
83,中洲三路,22.60182,120.27692,J72G+PQF 台灣高雄市前鎮區
84,自由路(被服廠),22.62499,120.34559,J8FW+X6W 台灣高雄市鳳山區
85,鳳鳴里,22.51372,120.35934,G975+FPP 台灣高雄市小港區
86,七賢二路,22.63478,120.30078,J8M2+W86 台灣高雄市新興區
87,捷運都會公園站,22.7301,120.32063,P8JC+27J 台灣高雄市楠梓區
88,民族裕誠路口,22.6649,120.31636,M878+XG9 台灣高雄市三民區
89,民族派出所,22.64806,120.31707,J8X8+6RG 台灣高雄市三民區
90,捷運技擊館站,22.62754,120.33421,J8HM+2M8 台灣高雄市苓雅區
91,逢甲路,22.67073,120.48786,MFCQ+74X 台灣屏東縣屏東市
92,屏東電信局,22.67062,120.48966,MFCQ+6VV 台灣屏東縣屏東市
93,自由路(建華一街口),22.66687,120.48669,MF8P+PMW 台灣屏東縣屏東市
94,勞工處,22.66506,120.48213,MF8J+2VC 台灣屏東縣屏東市
95,自由市場,22.62569,120.35103,J9G2+7CC 台灣高雄市鳳山區
96,大同國小,22.66535,120.47653,MF8G+4JR 台灣屏東縣屏東市
97,青果社,22.66144,120.46975,MF69+HVH 台灣屏東縣屏東市
98,建國路,22.65835,120.46792,MF59+85M 台灣屏東縣屏東市
99,西屏東,22.65452,120.46307,MF37+R64 台灣屏東縣屏東市
100,磚仔窯,22.64215,120.41769,JCR9+V38 台灣高雄市大寮區
101,鳳屏二路,22.64154,120.4135,JCR7+J99 台灣高雄市大寮區
102,海邊新田路口,22.61977,120.29211,J79R+WR5 台灣高雄市苓雅區
103,江山村口,22.64015,120.40512,JCR4+329 台灣高雄市大寮區
104,慈惠醫院,22.63868,120.39748,J9QW+FXH 台灣高雄市大寮區
105,高雄客運鳳山站(澄瀾砲台),22.62454,120.35698,J9F4+RQ9 台灣高雄市鳳山區
106,後庄(鳳屏一路),22.63743,120.39463,J9PV+XVC 台灣高雄市大寮區
107,後庄農會,22.63627,120.39264,J9PV+G32 台灣高雄市大寮區
108,新光高中(鳳屏一路),22.63471,120.38987,J9MQ+VWQ 台灣高雄市大寮區
109,中庄,22.63082,120.38443,J9JM+8QF 台灣高雄市大寮區
110,埤頂,22.62758,120.3791,J9HH+2JQ 台灣高雄市鳳山區
111,鳳山轉運站(捷運大東站),22.6261,120.36337,J9G7+C8Q 台灣高雄市鳳山區
112,上埤頂,22.62658,120.37629,J9GG+JGM 台灣高雄市鳳山區
113,中山東路,22.62625,120.37529,J9GG+F4V 台灣高雄市鳳山區
114,捷運鳳山國中站(郵局),22.62448,120.37142,J9FC+QHV 台灣高雄市鳳山區
115,通益市場,22.62912,120.3539,J9H3+JHR 台灣高雄市鳳山區
116,中山國小(光復路),22.62925,120.34996,J8HX+MXW 台灣高雄市鳳山區
117,婦幼館,22.62934,120.34776,J8HX+P4J 台灣高雄市鳳山區
118,興達國小,22.87545,120.19624,V5GW+5FQ 台灣高雄市茄萣區
119,覺民路口(澄清路),22.63746,120.34486,J8PV+XWQ 台灣高雄市三民區
120,澄清路,22.64267,120.34608,J8VW+3C8 台灣高雄市三民區
121,鳳山龍山寺,22.6217,120.35984,J9C5+MWP 台灣高雄市鳳山區
122,澄清湖棒球場,22.65522,120.36008,M946+32P 台灣高雄市鳥松區
123,鳥松區公所(中正路),22.65983,120.36414,M957+WMJ 台灣高雄市鳥松區
124,十九灣,22.67097,120.36138,M9C6+9HJ 台灣高雄市仁武區
125,考潭,22.67702,120.35811,M9G5+R65 台灣高雄市仁武區
126,灣子內(仁武),22.68232,120.35504,M9J4+W2F 台灣高雄市仁武區
127,新庄(鳳仁路),22.69291,120.34968,M8VX+5V7 台灣高雄市仁武區
128,八卦寮,22.69603,120.34825,M8WX+C86 台灣高雄市仁武區
129,通法寺,22.69888,120.34679,M8XW+HP3 台灣高雄市仁武區
130,仁武區公所(派出所),22.7015,120.34846,P82X+H9W 台灣高雄市仁武區
131,黃埔新村,22.62042,120.36436,J9C7+5P9 台灣高雄市鳳山區
132,仁武里,22.70236,120.35213,P922+WVR 台灣高雄市仁武區
133,文武橋,22.9868,120.63707,XJPP+PRG 台灣高雄市六龜區
134,安樂一街口,22.70927,120.35315,P953+P72 台灣高雄市仁武區
135,後庄(中正路),22.71479,120.35206,P972+WR7 台灣高雄市仁武區
136,林子邊,22.72239,120.35043,P9C2+X53 台灣高雄市大社區
137,三奶里,22.72692,120.3484,P8GX+Q96 台灣高雄市大社區
