,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH11306,11306,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",KHH16,16,"{'Zh_tw': '16A', 'En': '16A'}",1,23,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
1,,KHH11306,11306,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",KHH161,161,"{'Zh_tw': '16A繞(1700-2150繞文信路口)', 'En': '16A(Pass By Wenshin Road Intersection)'}",1,23,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
2,,KHH11306,11306,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",KHH162,162,"{'Zh_tw': '16B', 'En': '16B'}",1,25,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
3,,KHH3731,3731,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH210,210,"{'Zh_tw': '紅35', 'En': 'Red35'}",KHH210,210,"{'Zh_tw': '紅35', 'En': 'Red35'}",0,11,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
4,,KHH3731,3731,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH2102,2102,"{'Zh_tw': '紅35(繞崇實社區)', 'En': 'Red35(Extend)'}",KHH2102,2102,"{'Zh_tw': '紅35(繞崇實社區)', 'En': 'Red35(Extend)'}",0,11,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
5,,KHH11280,11280,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",KHH3,3,"{'Zh_tw': '3', 'En': '3'}",1,23,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
6,,KHH11280,11280,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",KHH31,31,"{'Zh_tw': '3繞(17:00－20:30繞文信路)', 'En': '3(Pass By Wenshin Road)'}",1,23,3,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,,,
7,109-V3,KHH3734,3734,"{'Zh_tw': '高鐵路口(左營新光三越)', 'En': 'HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store)'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",1,28,0,2021-12-14T23:00:58+08:00,2021-12-14T23:01:07+08:00,720.0,2021-12-14T23:04:00+08:00,"[{'PlateNumb': '109-V3', 'EstimateTime': 720, 'IsLastBus': True}]"
