,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime,EstimateTime,Estimates
0,,KHH7544,7544,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",1,5,1,2021-12-16T16:35:00+08:00,2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00,,
1,167-FT,KHH13600,13600,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",1,5,0,2021-12-16T16:07:00+08:00,2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00,180.0,"[{'PlateNumb': '167-FT', 'EstimateTime': 180, 'IsLastBus': False}, {'PlateNumb': '179-FT', 'EstimateTime': 3180, 'IsLastBus': False}]"
2,,KHH7321,7321,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",1,43,1,2021-12-16T18:53:00+08:00,2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00,,
3,,KHH7321,7321,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",1,43,1,2021-12-16T16:55:00+08:00,2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00,,
