,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime
0,,KHH11354,11354,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH100,100,"{'Zh_tw': '100百貨幹線', 'En': '100 '}",KHH100,100,"{'Zh_tw': '100百貨幹線', 'En': '100 '}",0,34,1,2021-12-24T06:17:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
1,,KHH2888,2888,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",1,21,1,2021-12-24T06:21:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
2,,KHH2889,2889,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH12,12,"{'Zh_tw': '12A', 'En': '12A'}",KHH12,12,"{'Zh_tw': '12A', 'En': '12A'}",0,53,1,2021-12-24T06:55:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
3,,KHH2889,2889,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH121,121,"{'Zh_tw': '12C(延駛經大坪頂)', 'En': '12C'}",KHH121,121,"{'Zh_tw': '12C(延駛經大坪頂)', 'En': '12C'}",0,71,1,2021-12-24T07:45:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
4,,KHH2877,2877,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",0,25,1,2021-12-24T05:56:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
5,,KHH2877,2877,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",0,27,1,2021-12-24T07:12:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
6,,KHH9305,9305,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH123,123,"{'Zh_tw': '12B(去程不繞駛飛機路)', 'En': '12B'}",KHH123,123,"{'Zh_tw': '12B(去程不繞駛飛機路)', 'En': '12B'}",0,32,1,2021-12-24T06:37:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
7,,KHH2878,2878,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",0,50,1,2021-12-24T06:59:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
8,,KHH2880,2880,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",0,54,1,2021-12-24T09:10:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
9,,KHH2887,2887,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH248,248,"{'Zh_tw': '248', 'En': '248'}",KHH248,248,"{'Zh_tw': '248', 'En': '248'}",0,14,1,2021-12-24T05:40:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
