,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime
10,,KHH2879,2879,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH26,26,"{'Zh_tw': '26A', 'En': '26A'}",KHH26,26,"{'Zh_tw': '26A', 'En': '26A'}",0,23,1,2021-12-24T05:49:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
11,,KHH2879,2879,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH260,260,"{'Zh_tw': '26B', 'En': '26B'}",KHH260,260,"{'Zh_tw': '26B', 'En': '26B'}",0,22,1,2021-12-24T06:34:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
12,,KHH8536,8536,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",1,1,1,2021-12-24T06:40:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
13,,KHH11792,11792,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",1,1,1,2021-12-24T06:46:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
14,,KHH11792,11792,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",1,1,1,2021-12-24T07:22:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
15,,KHH2878,2878,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH36,36,"{'Zh_tw': '36', 'En': '36'}",KHH36,36,"{'Zh_tw': '36', 'En': '36'}",0,29,1,2021-12-24T06:33:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
16,,KHH9311,9311,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH52,52,"{'Zh_tw': '52A', 'En': '52A'}",KHH52,52,"{'Zh_tw': '52A', 'En': '52A'}",0,29,1,2021-12-24T06:23:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
17,,KHH11348,11348,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH56,56,"{'Zh_tw': '56', 'En': '56'}",KHH56,56,"{'Zh_tw': '56', 'En': '56'}",1,14,1,2021-12-24T09:07:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
18,,KHH6487,6487,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH60,60,"{'Zh_tw': '60覺民幹線', 'En': '60 Jyuemin Main Line'}",KHH60,60,"{'Zh_tw': '60覺民幹線', 'En': '60 Jyuemin Main Line'}",1,35,1,2021-12-24T06:39:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
19,,KHH6487,6487,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH6001,6001,"{'Zh_tw': '60覺民幹線區間車', 'En': '60 Jyuemin Main Line(Interval)'}",KHH6001,6001,"{'Zh_tw': '60覺民幹線區間車', 'En': '60 Jyuemin Main Line(Interval)'}",1,23,1,2021-12-24T07:54:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
20,,KHH11349,11349,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH69,69,"{'Zh_tw': '69A小港幹線', 'En': '69A Siaogang Main Line'}",KHH69,69,"{'Zh_tw': '69A小港幹線', 'En': '69A Siaogang Main Line'}",0,54,1,2021-12-24T06:13:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
21,,KHH11349,11349,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH691,691,"{'Zh_tw': '69B小港幹線(延駛明鳳)', 'En': '69B Siaogang Main Line'}",KHH691,691,"{'Zh_tw': '69B小港幹線(延駛明鳳)', 'En': '69B Siaogang Main Line'}",0,57,1,2021-12-24T07:34:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
22,,KHH8439,8439,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH7001,7001,"{'Zh_tw': '綠1南', 'En': 'Green1 South'}",KHH7001,7001,"{'Zh_tw': '綠1南', 'En': 'Green1 South'}",1,6,1,2021-12-24T07:11:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
23,,KHH3903,3903,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH72,72,"{'Zh_tw': '72A', 'En': '72A'}",KHH72,72,"{'Zh_tw': '72A', 'En': '72A'}",0,27,1,2021-12-24T06:20:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
24,,KHH3903,3903,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH721,721,"{'Zh_tw': '72B(延駛正勤社區)', 'En': '72B'}",KHH721,721,"{'Zh_tw': '72B(延駛正勤社區)', 'En': '72B'}",0,28,1,2021-12-24T11:29:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
25,,KHH6482,6482,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH8010,8010,"{'Zh_tw': '8010', 'En': '8010 '}",KHH8010,8010,"{'Zh_tw': '8010', 'En': '8010 '}",1,97,1,2021-12-24T07:58:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
26,,KHH8242,8242,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH827,827,"{'Zh_tw': '紅27', 'En': 'Red27'}",KHH827,827,"{'Zh_tw': '紅27', 'En': 'Red27'}",0,5,1,2021-12-24T06:02:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
27,,KHH2886,2886,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH83,83,"{'Zh_tw': '83', 'En': '83 '}",KHH83,83,"{'Zh_tw': '83', 'En': '83 '}",0,32,1,2021-12-24T06:00:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
28,,KHH11780,11780,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",1,1,1,2021-12-24T07:10:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
29,,KHH11780,11780,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",1,1,1,2021-12-24T06:05:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
30,,KHH17425,17425,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",1,1,1,2021-12-24T06:21:00+08:00,2021-12-24T00:53:11+08:00,2021-12-24T00:53:31+08:00
