,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime
0,,KHH32874,32874,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan Rd.)'}",KHH15203,15203,"{'Zh_tw': 'H51', 'En': 'H51'}",KHH15203,15203,"{'Zh_tw': 'H51', 'En': 'H51'}",0,7,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
1,,KHH7529,7529,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",0,6,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
2,,KHH7234,7234,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",0,37,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
3,,KHH7234,7234,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",0,14,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
4,,KHH13593,13593,"{'Zh_tw': '樹德科技大學(橫山路)', 'En': 'Shu-Te University (Hengshan)'}",KHH97,97,"{'Zh_tw': '97', 'En': '97'}",KHH97,97,"{'Zh_tw': '97', 'En': '97'}",0,17,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
