,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,NextBusTime
0,,KHH2863,2863,"{'Zh_tw': '裕誠路口(大順一路)', 'En': 'Yucheng Rd. Intersection (Dashun 1st Rd.)'}",KHH1421,1421,"{'Zh_tw': '0南', 'En': '0 South'}",KHH1421,1421,"{'Zh_tw': '0南', 'En': '0 South'}",0,14,3,2021-12-24T21:37:37+08:00,2021-12-24T21:37:51+08:00,
1,,KHH2863,2863,"{'Zh_tw': '裕誠路口(大順一路)', 'En': 'Yucheng Rd. Intersection (Dashun 1st Rd.)'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",0,13,1,2021-12-24T21:37:37+08:00,2021-12-24T21:37:51+08:00,2021-12-24T21:42:00+08:00
2,,KHH2863,2863,"{'Zh_tw': '裕誠路口(大順一路)', 'En': 'Yucheng Rd. Intersection (Dashun 1st Rd.)'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",0,5,1,2021-12-24T21:37:37+08:00,2021-12-24T21:37:51+08:00,2021-12-24T21:41:00+08:00
