,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime
0,,KHH7270,7270,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",0,33,1,2021-12-24T06:25:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
1,,KHH15389,15389,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",1,13,1,2021-12-24T06:24:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
2,,KHH15389,15389,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",1,13,1,2021-12-24T08:00:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
3,,KHH7925,7925,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",0,48,1,2021-12-24T06:37:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
4,,KHH7270,7270,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",0,57,1,2021-12-24T06:51:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
5,,KHH4458,4458,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",0,36,1,2021-12-24T07:26:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
6,,KHH19255,19255,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH532,532,"{'Zh_tw': '53B', 'En': '53B'}",KHH532,532,"{'Zh_tw': '53B', 'En': '53B'}",0,44,1,2021-12-24T06:37:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
7,,KHH8640,8640,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH7002,7002,"{'Zh_tw': '綠1北', 'En': 'Green1 North'}",KHH7002,7002,"{'Zh_tw': '綠1北', 'En': 'Green1 North'}",0,16,1,2021-12-24T07:08:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
8,,KHH13940,13940,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH825,825,"{'Zh_tw': '紅25', 'En': 'Red25'}",KHH825,825,"{'Zh_tw': '紅25', 'En': 'Red25'}",0,24,1,2021-12-24T07:25:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
9,,KHH13940,13940,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH8251,8251,"{'Zh_tw': '紅25繞', 'En': 'Red25(Extend)'}",KHH8251,8251,"{'Zh_tw': '紅25繞', 'En': 'Red25(Extend)'}",0,27,1,2021-12-24T09:13:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
10,,KHH4462,4462,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",0,33,1,2021-12-24T07:03:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
11,,KHH4462,4462,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",0,31,1,2021-12-24T05:53:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
12,,KHH15770,15770,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",0,28,1,2021-12-24T06:18:00+08:00,2021-12-24T00:52:36+08:00,2021-12-24T00:52:51+08:00
