,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
0,586-FP,KHH4362,4362,"{'Zh_tw': '市立聯合醫院', 'En': 'Kaohsiung Municipal United Hospital'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",1,360.0,24,0,2021-12-14T22:34:00+08:00,"[{'PlateNumb': '586-FP', 'EstimateTime': 360, 'IsLastBus': False}, {'PlateNumb': '266-XH', 'EstimateTime': 1320, 'IsLastBus': False}]",2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00
1,EAL-2886,KHH4363,4363,"{'Zh_tw': '市立聯合醫院', 'En': 'Kaohsiung Municipal United Hospital'}",KHH210,210,"{'Zh_tw': '紅35', 'En': 'Red35'}",KHH210,210,"{'Zh_tw': '紅35', 'En': 'Red35'}",0,2040.0,30,0,2021-12-14T22:47:00+08:00,"[{'PlateNumb': 'EAL-2886', 'EstimateTime': 2040, 'IsLastBus': True}]",2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00
2,,KHH4366,4366,"{'Zh_tw': '市立聯合醫院', 'En': 'Kaohsiung Municipal United Hospital'}",KHH2102,2102,"{'Zh_tw': '紅35(繞崇實社區)', 'En': 'Red35(Extend)'}",KHH2102,2102,"{'Zh_tw': '紅35(繞崇實社區)', 'En': 'Red35(Extend)'}",0,,33,3,,,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00
3,,KHH6607,6607,"{'Zh_tw': '市立聯合醫院', 'En': 'Kaohsiung Municipal United Hospital'}",KHH73,73,"{'Zh_tw': '73', 'En': '73'}",KHH73,73,"{'Zh_tw': '73', 'En': '73'}",1,,28,3,,,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00
4,,KHH17714,17714,"{'Zh_tw': '市立聯合醫院', 'En': 'Kaohsiung Municipal United Hospital'}",KHH8043,8043,"{'Zh_tw': '8043', 'En': '8043'}",KHH8043,8043,"{'Zh_tw': '8043', 'En': '8043'}",0,,89,3,,,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00
5,095-V3,KHH6719,6719,"{'Zh_tw': '市立聯合醫院', 'En': 'Kaohsiung Municipal United Hospital'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",1,0.0,6,0,2021-12-14T22:37:00+08:00,"[{'PlateNumb': '095-V3', 'EstimateTime': 0, 'IsLastBus': False, 'VehicleStopStatus': 1}, {'PlateNumb': '530-FP', 'EstimateTime': 1500, 'IsLastBus': False}]",2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00
