,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH2722,2722,"{'Zh_tw': '龍德路口(大順一路)', 'En': 'Longde Rd. Intersection (Dashun 1st Rd.)'}",KHH1421,1421,"{'Zh_tw': '0南', 'En': '0 South'}",KHH1421,1421,"{'Zh_tw': '0南', 'En': '0 South'}",0,13,3,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00,,,
1,526-FP,KHH2723,2723,"{'Zh_tw': '龍德路口(大順一路)', 'En': 'Longde Rd. Intersection (Dashun 1st Rd.)'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",KHH2061,2061,"{'Zh_tw': '168環西幹線', 'En': '168W Main Line'}",0,12,0,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00,180.0,2021-12-14T22:15:00+08:00,"[{'PlateNumb': '526-FP', 'EstimateTime': 180, 'IsLastBus': False}]"
2,530-FP,KHH2724,2724,"{'Zh_tw': '龍德路口(大順一路)', 'En': 'Longde Rd. Intersection (Dashun 1st Rd.)'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",0,4,0,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00,60.0,2021-12-14T22:11:00+08:00,"[{'PlateNumb': '530-FP', 'EstimateTime': 60, 'IsLastBus': False}]"
