,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,NextBusTime,EstimateTime,Estimates
0,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8008,8008,"{'Zh_tw': '8008', 'En': '8008 '}",KHH8008,8008,"{'Zh_tw': '8008', 'En': '8008 '}",0,67,3,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,,
1,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8009,8009,"{'Zh_tw': '8009', 'En': '8009 '}",KHH8009,8009,"{'Zh_tw': '8009', 'En': '8009 '}",1,1,3,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,,
2,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8010,8010,"{'Zh_tw': '8010', 'En': '8010 '}",KHH8010,8010,"{'Zh_tw': '8010', 'En': '8010 '}",0,1,3,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,,
3,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",0,1,1,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,2021-12-14T20:50:00+08:00,,
4,902-FY,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8025,8025,"{'Zh_tw': 'E25高旗六龜快線(08:20前不行經高鐵左營站)', 'En': 'E25 GaoQi Liouguei Express '}",KHH8025,8025,"{'Zh_tw': 'E25高旗六龜快線(08:20前不行經高鐵左營站)', 'En': 'E25 GaoQi Liouguei Express '}",0,92,0,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,2021-12-14T20:35:00+08:00,1980.0,"[{'PlateNumb': '902-FY', 'EstimateTime': 1980, 'IsLastBus': False}, {'PlateNumb': '936-V2', 'EstimateTime': 6060, 'IsLastBus': False}]"
5,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8025,8025,"{'Zh_tw': 'E25高旗六龜快線(08:20前不行經高鐵左營站)', 'En': 'E25 GaoQi Liouguei Express '}",KHH8025,8025,"{'Zh_tw': 'E25高旗六龜快線(08:20前不行經高鐵左營站)', 'En': 'E25 GaoQi Liouguei Express '}",1,1,1,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,2021-12-14T20:20:00+08:00,,
6,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8028,8028,"{'Zh_tw': 'E28高旗美濃快線', 'En': 'E28 GaoQi Meinong Express'}",KHH8028,8028,"{'Zh_tw': 'E28高旗美濃快線', 'En': 'E28 GaoQi Meinong Express'}",0,1,1,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,2021-12-14T21:20:00+08:00,,
7,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8032,8032,"{'Zh_tw': 'E32高旗甲仙快線', 'En': 'E32 GaoQi Jiasian Express'}",KHH8032,8032,"{'Zh_tw': 'E32高旗甲仙快線', 'En': 'E32 GaoQi Jiasian Express'}",1,1,1,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,2021-12-14T20:40:00+08:00,,
8,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8040,8040,"{'Zh_tw': '8040', 'En': '8040'}",KHH8040,8040,"{'Zh_tw': '8040', 'En': '8040'}",0,37,3,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,,
9,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8043,8043,"{'Zh_tw': '8043', 'En': '8043'}",KHH8043,8043,"{'Zh_tw': '8043', 'En': '8043'}",1,1,3,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,,
10,,KHH8252,8252,"{'Zh_tw': '建國站', 'En': 'Jianguo Station'}",KHH8046,8046,"{'Zh_tw': '8046A', 'En': '8046A'}",KHH8046,8046,"{'Zh_tw': '8046A', 'En': '8046A'}",1,82,3,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,,
