,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime,EstimateTime,Estimates
0,,KHH7592,7592,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",1,13,1,2021-12-16T16:42:00+08:00,2021-12-16T16:18:03+08:00,2021-12-16T16:18:07+08:00,,
1,179-FT,KHH14814,14814,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",1,13,0,2021-12-16T16:35:00+08:00,2021-12-16T16:18:03+08:00,2021-12-16T16:18:07+08:00,360.0,"[{'PlateNumb': '179-FT', 'EstimateTime': 360, 'IsLastBus': False}, {'PlateNumb': 'EAL-2878', 'EstimateTime': 1980, 'IsLastBus': False}]"
2,,KHH8853,8853,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",1,7,1,2021-12-16T16:47:00+08:00,2021-12-16T16:18:03+08:00,2021-12-16T16:18:07+08:00,,
3,,KHH7315,7315,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",1,50,1,2021-12-16T18:57:00+08:00,2021-12-16T16:18:03+08:00,2021-12-16T16:18:07+08:00,,
4,,KHH7315,7315,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",1,50,1,2021-12-16T17:00:00+08:00,2021-12-16T16:18:03+08:00,2021-12-16T16:18:07+08:00,,
