,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime,EstimateTime,Estimates
0,,KHH15389,15389,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",1,13,1,2021-12-14T20:24:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
1,,KHH15389,15389,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",1,13,3,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
2,088-V3,KHH7925,7925,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",0,48,0,2021-12-14T20:22:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,1320.0,"[{'PlateNumb': '088-V3', 'EstimateTime': 1320, 'IsLastBus': False}, {'PlateNumb': '907-V2', 'EstimateTime': 2340, 'IsLastBus': False}]"
3,781-FP,KHH7270,7270,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",0,57,0,2021-12-14T20:16:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,780.0,"[{'PlateNumb': '781-FP', 'EstimateTime': 780, 'IsLastBus': False}]"
4,,KHH4458,4458,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",0,36,1,2021-12-14T20:50:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
5,EAA-906,KHH19255,19255,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH532,532,"{'Zh_tw': '53B', 'En': '53B'}",KHH532,532,"{'Zh_tw': '53B', 'En': '53B'}",0,44,0,2021-12-14T20:47:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,2340.0,"[{'PlateNumb': 'EAA-906', 'EstimateTime': 2340, 'IsLastBus': False}]"
6,EAL-0166,KHH8640,8640,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH7002,7002,"{'Zh_tw': '綠1北', 'En': 'Green1 North'}",KHH7002,7002,"{'Zh_tw': '綠1北', 'En': 'Green1 North'}",0,16,0,2021-12-14T20:38:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,0.0,"[{'PlateNumb': 'EAL-0166', 'EstimateTime': 0, 'IsLastBus': False}]"
7,,KHH13940,13940,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH825,825,"{'Zh_tw': '紅25', 'En': 'Red25'}",KHH825,825,"{'Zh_tw': '紅25', 'En': 'Red25'}",0,24,3,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
8,,KHH13940,13940,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH8251,8251,"{'Zh_tw': '紅25繞', 'En': 'Red25(Extend)'}",KHH8251,8251,"{'Zh_tw': '紅25繞', 'En': 'Red25(Extend)'}",0,27,3,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
9,,KHH4462,4462,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",KHH830,830,"{'Zh_tw': '紅30', 'En': 'Red30'}",0,33,3,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
10,,KHH4462,4462,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",KHH831,831,"{'Zh_tw': '紅31', 'En': 'Red31'}",0,31,1,2021-12-14T20:53:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,,
11,108-V3,KHH15770,15770,"{'Zh_tw': '高雄車站(建國路)', 'En': 'Kaohsiung Main Station(Jianguo Rd.)'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",KHH92,92,"{'Zh_tw': '92自由幹線', 'En': '92 Zihyou Main Line'}",0,28,0,2021-12-14T20:33:00+08:00,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00,1620.0,"[{'PlateNumb': '108-V3', 'EstimateTime': 1620, 'IsLastBus': False}]"
