,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
0,917-FY,KHH7536,7536,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",0,2580.0,15,0,2021-12-16T15:53:00+08:00,"[{'PlateNumb': '917-FY', 'EstimateTime': 2580, 'IsLastBus': False}]",2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00
1,179-FT,KHH14803,14803,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",0,2520.0,41,0,2021-12-16T15:56:00+08:00,"[{'PlateNumb': '179-FT', 'EstimateTime': 2520, 'IsLastBus': False}]",2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00
2,776-V2,KHH7227,7227,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",0,1740.0,45,0,2021-12-16T15:43:00+08:00,"[{'PlateNumb': '776-V2', 'EstimateTime': 1740, 'IsLastBus': False}]",2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00
3,,KHH7227,7227,"{'Zh_tw': '石格', 'En': 'Shihge'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",0,,22,1,2021-12-16T18:08:00+08:00,,2021-12-16T15:13:38+08:00,2021-12-16T15:13:47+08:00
