,車牌號碼,公車路線,出發站,預計到站時間,目標站
0,560-FP,168環東幹線,漢神巨蛋,7分,龍德路口(大順一路)
1,212-FT,168環東幹線,漢神巨蛋,15分,龍德路口(大順一路)
2,560-FP,168環東幹線,漢神巨蛋,7分,裕誠路口(大順一路)
3,212-FT,168環東幹線,漢神巨蛋,15分,裕誠路口(大順一路)
