,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
0,120-V3,KHH11354,11354,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH100,100,"{'Zh_tw': '100百貨幹線', 'En': '100 '}",KHH100,100,"{'Zh_tw': '100百貨幹線', 'En': '100 '}",0,240.0,34,0,2021-12-14T20:16:00+08:00,"[{'PlateNumb': '120-V3', 'EstimateTime': 240, 'IsLastBus': False}, {'PlateNumb': '127-V3', 'EstimateTime': 1860, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
1,,KHH2888,2888,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",KHH114,114,"{'Zh_tw': '205中華幹線', 'En': '205 Jhonghua Main Line'}",1,,21,1,2021-12-14T20:31:00+08:00,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
2,EAL-2837,KHH2889,2889,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH12,12,"{'Zh_tw': '12A', 'En': '12A'}",KHH12,12,"{'Zh_tw': '12A', 'En': '12A'}",0,1080.0,53,0,2021-12-14T20:24:00+08:00,"[{'PlateNumb': 'EAL-2837', 'EstimateTime': 1080, 'IsLastBus': False}, {'PlateNumb': 'EAL-2836', 'EstimateTime': 2820, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
3,,KHH2889,2889,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH121,121,"{'Zh_tw': '12C(延駛經大坪頂)', 'En': '12C'}",KHH121,121,"{'Zh_tw': '12C(延駛經大坪頂)', 'En': '12C'}",0,,71,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
4,EAL-2815,KHH2877,2877,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",KHH122,122,"{'Zh_tw': '88建國幹線', 'En': '88 Jianguo Main Line'}",0,540.0,25,0,2021-12-14T20:16:00+08:00,"[{'PlateNumb': 'EAL-2815', 'EstimateTime': 540, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
5,,KHH2877,2877,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",KHH1221,1221,"{'Zh_tw': '88建國幹線延駛', 'En': '88 Jianguo Main Line'}",0,,27,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
6,,KHH9305,9305,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH123,123,"{'Zh_tw': '12B(去程不繞駛飛機路)', 'En': '12B'}",KHH123,123,"{'Zh_tw': '12B(去程不繞駛飛機路)', 'En': '12B'}",0,,32,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
7,EAL-2876,KHH2878,2878,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",KHH218,218,"{'Zh_tw': '218A', 'En': '218A'}",0,780.0,50,0,2021-12-14T20:19:00+08:00,"[{'PlateNumb': 'EAL-2876', 'EstimateTime': 780, 'IsLastBus': False}, {'PlateNumb': 'EAL-2859', 'EstimateTime': 2460, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
8,,KHH2880,2880,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",KHH2181,2181,"{'Zh_tw': '218B(延駛合群社區)', 'En': '218B'}",0,,54,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
9,,KHH2887,2887,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH248,248,"{'Zh_tw': '248', 'En': '248'}",KHH248,248,"{'Zh_tw': '248', 'En': '248'}",0,,14,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
