,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime
0,,KHH7545,7545,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",1,6,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
1,,KHH14808,14808,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",1,6,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
2,,KHH7320,7320,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",1,44,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
3,,KHH7320,7320,"{'Zh_tw': '竹崎(高雄科大.燕巢)', 'En': 'Jhuci (National Kaohsiung University of Science and Technology, Yanchao)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",1,44,3,2021-12-24T22:36:37+08:00,2021-12-24T22:36:51+08:00
