,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
0,EAL-2862,KHH4142,4142,"{'Zh_tw': '博愛路口(漢神巨蛋)', 'En': 'Boai Rd. Intersection (Hanshin Arena Rd.)'}",KHH217,217,"{'Zh_tw': '217A新昌幹線', 'En': '217A Sinchang Main Line'}",KHH217,217,"{'Zh_tw': '217A新昌幹線', 'En': '217A Sinchang Main Line'}",1,1500.0,38,0,2021-12-24T22:02:00+08:00,"[{'PlateNumb': 'EAL-2862', 'EstimateTime': 1500, 'IsLastBus': False}, {'PlateNumb': '150-V3', 'EstimateTime': 4260, 'IsLastBus': False}, {'PlateNumb': 'EAL-2879', 'EstimateTime': 6360, 'IsLastBus': False}]",2021-12-24T21:36:11+08:00,2021-12-24T21:36:31+08:00
1,,KHH4142,4142,"{'Zh_tw': '博愛路口(漢神巨蛋)', 'En': 'Boai Rd. Intersection (Hanshin Arena Rd.)'}",KHH2173,2173,"{'Zh_tw': '217D新昌幹線(高應大發車)', 'En': '217D Sinchang Main Line '}",KHH2173,2173,"{'Zh_tw': '217D新昌幹線(高應大發車)', 'En': '217D Sinchang Main Line '}",0,,18,3,,,2021-12-24T21:36:11+08:00,2021-12-24T21:36:31+08:00
2,,KHH4142,4142,"{'Zh_tw': '博愛路口(漢神巨蛋)', 'En': 'Boai Rd. Intersection (Hanshin Arena Rd.)'}",KHH2174,2174,"{'Zh_tw': '217E新昌幹線(大華里發車)', 'En': '217E Sinchang Main Line '}",KHH2174,2174,"{'Zh_tw': '217E新昌幹線(大華里發車)', 'En': '217E Sinchang Main Line '}",0,,31,3,,,2021-12-24T21:36:11+08:00,2021-12-24T21:36:31+08:00
