,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH2862,2862,"{'Zh_tw': '裕誠路口(大順一路)', 'En': 'Yucheng Rd. Intersection (Dashun 1st Rd.)'}",KHH1431,1431,"{'Zh_tw': '0北', 'En': '0 North'}",KHH1431,1431,"{'Zh_tw': '0北', 'En': '0 North'}",1,12,3,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00,,,
1,586-FP,KHH2862,2862,"{'Zh_tw': '裕誠路口(大順一路)', 'En': 'Yucheng Rd. Intersection (Dashun 1st Rd.)'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",1,25,0,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00,480.0,2021-12-14T22:36:00+08:00,"[{'PlateNumb': '586-FP', 'EstimateTime': 480, 'IsLastBus': False}, {'PlateNumb': '266-XH', 'EstimateTime': 1500, 'IsLastBus': False}]"
2,095-V3,KHH2862,2862,"{'Zh_tw': '裕誠路口(大順一路)', 'En': 'Yucheng Rd. Intersection (Dashun 1st Rd.)'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",1,7,0,2021-12-14T22:12:27+08:00,2021-12-14T22:12:47+08:00,180.0,2021-12-14T22:39:00+08:00,"[{'PlateNumb': '095-V3', 'EstimateTime': 180, 'IsLastBus': False}, {'PlateNumb': '530-FP', 'EstimateTime': 1620, 'IsLastBus': False}]"
