,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime,EstimateTime,NextBusTime,Estimates
0,,KHH2794,2794,"{'Zh_tw': '龍德路口(大順一路)', 'En': 'Longde Rd. Intersection (Dashun 1st Rd.)'}",KHH1431,1431,"{'Zh_tw': '0北', 'En': '0 North'}",KHH1431,1431,"{'Zh_tw': '0北', 'En': '0 North'}",1,13,3,2021-12-24T21:37:37+08:00,2021-12-24T21:37:51+08:00,,,
1,212-FT,KHH2796,2796,"{'Zh_tw': '龍德路口(大順一路)', 'En': 'Longde Rd. Intersection (Dashun 1st Rd.)'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",KHH2071,2071,"{'Zh_tw': '168環東幹線', 'En': '168E Main Line'}",1,26,0,2021-12-24T21:37:37+08:00,2021-12-24T21:37:51+08:00,540.0,2021-12-24T22:07:00+08:00,"[{'PlateNumb': '212-FT', 'EstimateTime': 540, 'IsLastBus': False}]"
2,759-FP,KHH2795,2795,"{'Zh_tw': '龍德路口(大順一路)', 'En': 'Longde Rd. Intersection (Dashun 1st Rd.)'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",KHH832,832,"{'Zh_tw': '紅32A', 'En': 'Red32A'}",1,8,0,2021-12-24T21:37:37+08:00,2021-12-24T21:37:51+08:00,180.0,2021-12-24T21:39:00+08:00,"[{'PlateNumb': '759-FP', 'EstimateTime': 180, 'IsLastBus': False}]"
