,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,SrcUpdateTime,UpdateTime
0,,KHH7530,7530,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",KHH504,504,"{'Zh_tw': 'E04', 'En': 'E04A Yanchao College Express '}",0,7,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
1,,KHH14797,14797,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",KHH7,7,"{'Zh_tw': '7A', 'En': '7A'}",0,33,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
2,,KHH8838,8838,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",KHH731,731,"{'Zh_tw': '7C', 'En': '7C'}",0,26,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
3,,KHH7233,7233,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",KHH8023,8023,"{'Zh_tw': '8023', 'En': '8023 '}",0,38,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
4,,KHH7233,7233,"{'Zh_tw': '橫山路口', 'En': 'Hengshan Rd. Intersection'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",KHH8063,8063,"{'Zh_tw': '8023(區間車)', 'En': '8023(Interval)'}",0,15,3,2021-12-24T22:27:11+08:00,2021-12-24T22:27:31+08:00
